COUNTY,SOVI_SCORE,RESL_SCORE,HWAV_EVNTS
Los Angeles,80.23999786,15.43999958,78
Los Angeles,89.74001312,15.43999958,78
Los Angeles,58.00999832,15.43999958,78
Los Angeles,96.08000183,15.43999958,78
Los Angeles,76.16999817,15.43999958,78
Los Angeles,89.93000031,15.43999958,78
Los Angeles,86.80000305,15.43999958,78
Los Angeles,93.19000244,15.43999958,78
Los Angeles,91.45999908,15.43999958,78
Los Angeles,92.06999969,15.43999958,78
Los Angeles,86.11000061,15.43999958,78
Los Angeles,95.55000305,15.43999958,78
Los Angeles,67.02999878,15.43999958,78
Los Angeles,97.33999634,15.43999958,78
Los Angeles,94.45999908,15.43999958,78
Los Angeles,86.69999695,15.43999958,78
Los Angeles,83.51999664,15.43999958,78
Los Angeles,80.09999847,15.43999958,78
Los Angeles,82.59999847,15.43999958,78
Los Angeles,80.33999634,15.43999958,78
Los Angeles,75.43000031,15.43999958,78
Los Angeles,83.12999725,15.43999958,78
Los Angeles,89.12000275,15.43999958,78
Los Angeles,65.58000183,15.43999958,78
Los Angeles,89.60001373,15.43999958,78
Los Angeles,94.79000092,15.43999958,78
Los Angeles,78.86000061,15.43999958,78
Los Angeles,94.87000275,15.43999958,78
Los Angeles,94.56999969,15.43999958,78
Los Angeles,84.12000275,15.43999958,78
Los Angeles,91.88999939,15.43999958,78
Los Angeles,79.75,15.43999958,78
Los Angeles,75.13999939,15.43999958,78
Los Angeles,71.87000275,15.43999958,78
Los Angeles,88.91000366,15.43999958,78
Los Angeles,42.72000122,15.43999958,78
Los Angeles,39.31000137,15.43999958,78
Los Angeles,86.51999664,15.43999958,78
Los Angeles,81.79000092,15.43999958,78
Los Angeles,81.36000061,15.43999958,78
Los Angeles,76.58999634,15.43999958,78
Los Angeles,67.45999908,15.43999958,78
Los Angeles,71,15.43999958,78
Los Angeles,86.31999969,15.43999958,78
Los Angeles,74.63999939,15.43999958,78
Los Angeles,58.02999878,15.43999958,78
Los Angeles,35.79999924,15.43999958,78
Los Angeles,29.82999992,15.43999958,78
Los Angeles,50.38999939,15.43999958,78
Los Angeles,83.33000183,15.43999958,78
Los Angeles,86.98000336,15.43999958,78
Los Angeles,27.10000038,15.43999958,78
Los Angeles,66.88999939,15.43999958,78
Los Angeles,68.25,15.43999958,78
Los Angeles,69.73000336,15.43999958,78
Los Angeles,58.61000061,15.43999958,78
Los Angeles,84.63999939,15.43999958,78
Los Angeles,37.5,15.43999958,78
Los Angeles,39.75,15.43999958,78
Los Angeles,37.93999863,15.43999958,78
Los Angeles,69.30999756,15.43999958,78
Los Angeles,57.49000168,15.43999958,78
Los Angeles,52.25,15.43999958,78
Los Angeles,92.73000336,15.43999958,78
Los Angeles,83.45999908,15.43999958,78
Los Angeles,82.09999847,15.43999958,78
Los Angeles,83.83999634,15.43999958,78
Los Angeles,97.51999664,15.43999958,78
Los Angeles,86.22000122,15.43999958,78
Los Angeles,84.48999786,15.43999958,78
Los Angeles,99.06999969,15.43999958,78
Los Angeles,93.11000061,15.43999958,78
Los Angeles,81.01999664,15.43999958,78
Los Angeles,92.83000183,15.43999958,78
Los Angeles,58.09999847,15.43999958,78
Los Angeles,67.30999756,15.43999958,78
Los Angeles,88.23000336,15.43999958,78
Los Angeles,95.30000305,15.43999958,78
Los Angeles,84.26999664,15.43999958,78
Los Angeles,98.43998718,15.43999958,78
